"Level" "Male" "Night" "Wet" "LD" "Distraction" "Count"
"170" 0 1 1 0 1 1 1
"171" 1 1 1 0 1 1 3
"172" 2 1 1 0 1 1 9
"173" 0 0 0 1 1 1 6
"174" 2 0 0 1 1 1 2
"175" 0 1 0 1 1 1 3
"176" 1 1 0 1 1 1 2
"177" 2 1 0 1 1 1 4
"178" 0 0 1 1 1 1 5
"179" 2 0 1 1 1 1 3
"180" 0 1 1 1 1 1 2
"181" 1 1 1 1 1 1 2
"182" 2 1 1 1 1 1 6
"183" 1 0 0 0 0 2 2
"184" 1 1 0 0 0 2 5
"185" 2 1 0 0 0 2 6
"186" 1 1 1 0 0 2 3
"187" 2 1 1 0 0 2 12
"188" 1 1 0 1 0 2 2
"189" 2 1 0 1 0 2 4
"190" 1 1 1 1 0 2 3
"191" 2 1 1 1 0 2 3
"192" 1 0 0 0 1 2 4
"193" 1 1 0 0 1 2 7
"194" 2 1 0 0 1 2 12
"195" 1 0 1 0 1 2 6
"196" 1 1 1 0 1 2 9
"197" 2 1 1 0 1 2 6
"198" 1 0 0 1 1 2 3
"199" 1 1 0 1 1 2 4
"200" 2 1 0 1 1 2 5
"201" 1 0 1 1 1 2 3
"202" 1 1 1 1 1 2 3
"203" 2 1 1 1 1 2 6
"204" 1 1 0 0 0 3 4
"205" 2 1 0 0 0 3 1
"206" 1 1 1 0 0 3 5
"207" 2 1 0 1 0 3 1
"208" 2 1 1 1 0 3 1
"209" 1 1 0 0 1 3 2
"210" 2 1 0 0 1 3 5
"211" 1 1 1 0 1 3 1
"212" 2 1 1 0 1 3 6
"213" 1 1 0 1 1 3 3
"214" 2 1 0 1 1 3 2
"215" 1 1 1 1 1 3 3
"216" 2 1 1 1 1 3 2
